,row_id,date_created,year,month_number,month,request_status,service_category,service_description,interaction_channel,service_area,referral_type,neighbourhood_id,neighbourhood,ward,service_category_service_area,service_area_service_category,service_area_service_description,nbhd_latitude,nbhd_longitude,nbhd_location,count,date_closed,status_detail,ward_latitude,ward_longitude,ward_location,CovidAll
14178,14021140473640,2020-04-26T11:02:14.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Email,Community Standards - Peace Officers,Referral,6550,OTTEWELL,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53128518402029,-113.43074600681692,"{'latitude': '53.53128518402029', 'longitude': '-113.43074600681692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-26T16:31:31.000,Does Not Meet Bylaw Offence Standards,,,,True
14700,1131839473121,2020-04-25T18:13:01.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3020,BARANOW,02,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.605734466116544,-113.53610327823839,"{'latitude': '53.605734466116544', 'longitude': '-113.53610327823839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T19:31:15.000,,,,,True
14783,38361739473061,2020-04-25T17:36:38.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-25T17:36:39.000,,,,,True
14815,49211739473017,2020-04-25T17:21:49.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3382,RIVER VALLEY LAURIER,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.51058347704698,-113.55332311351657,"{'latitude': '53.51058347704698', 'longitude': '-113.55332311351657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T18:31:45.000,,,,,True
14819,42201739473018,2020-04-25T17:20:42.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4720,GLASTONBURY,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.503187279448504,-113.66986988345468,"{'latitude': '53.503187279448504', 'longitude': '-113.66986988345468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T18:31:08.000,,,,,True
14920,42241639472904,2020-04-25T16:24:42.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2280,FRASER,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.610382173879735,-113.37478157988564,"{'latitude': '53.610382173879735', 'longitude': '-113.37478157988564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-28T11:31:42.000,Citizen Complied,,,,True
15094,271539472733,2020-04-25T15:27:00.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3020,BARANOW,02,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.605734466116544,-113.53610327823839,"{'latitude': '53.605734466116544', 'longitude': '-113.53610327823839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T16:30:47.000,,,,,True
15121,1151539472680,2020-04-25T15:15:01.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5390,RIVER VALLEY WALTERDALE,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53057521763347,-113.51975396063287,"{'latitude': '53.53057521763347', 'longitude': '-113.51975396063287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T16:30:32.000,,,,,True
15231,1461439472589,2020-04-25T14:46:01.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4610,WESTRIDGE,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.50562209302866,-113.60137155581822,"{'latitude': '53.50562209302866', 'longitude': '-113.60137155581822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T16:01:06.000,,,,,True
15252,12381439472524,2020-04-25T14:38:12.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4160,GARIEPY,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.49359649621341,-113.62265689700894,"{'latitude': '53.49359649621341', 'longitude': '-113.62265689700894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T16:02:06.000,,,,,True
15310,9241439472503,2020-04-25T14:24:09.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5560,WHITEMUD CREEK RAVINE SOUTH,10,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.46849885499151,-113.56034051442934,"{'latitude': '53.46849885499151', 'longitude': '-113.56034051442934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T15:30:34.000,,53.470919173308204,-113.53837514442674,"{'latitude': '53.470919173308204', 'longitude': '-113.53837514442674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
15332,50161439472450,2020-04-25T14:16:50.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-25T14:16:51.000,,,,,True
15368,9031439472437,2020-04-25T14:03:09.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4461,THE HAMPTONS,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.487385599931166,-113.67568737577308,"{'latitude': '53.487385599931166', 'longitude': '-113.67568737577308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T15:31:06.000,,,,,True
15422,26511339472382,2020-04-25T13:51:26.000,2020,4,April,Closed,Bylaw Complaints,COVID - Garage/Yard Sale Restriction,Phone Call,Community Standards - Peace Officers,Referral,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Garage/Yard Sale Restriction,,,,1,2020-04-25T14:51:09.000,,,,,True
15441,23431339472374,2020-04-25T13:43:23.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Mobile App,Community Standards - Peace Officers,Referral,1150,OLIVER,06,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.541982930616356,-113.52399393488137,"{'latitude': '53.541982930616356', 'longitude': '-113.52399393488137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-26T09:30:36.000,,,,,True
15452,32401339472340,2020-04-25T13:40:32.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5570,WINDERMERE,09,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.432563152762754,-113.62600761352968,"{'latitude': '53.432563152762754', 'longitude': '-113.62600761352968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-26T15:31:39.000,Does Not Meet Bylaw Offence Standards,,,,True
15453,23401339472356,2020-04-25T13:40:23.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-25T13:40:24.000,,,,,True
15959,8181139471819,2020-04-25T11:18:08.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,1170,PRINCE RUPERT,02,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.56459450201589,-113.52411765669545,"{'latitude': '53.56459450201589', 'longitude': '-113.52411765669545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T12:31:10.000,,,,,True
16141,12241039471650,2020-04-25T10:24:12.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-25T10:24:13.000,,,,,True
16498,19170739471276,2020-04-25T07:17:19.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-25T07:17:20.000,,,,,True
16595,51491938471141,2020-04-24T19:49:51.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6020,AVONMORE,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.50777958168241,-113.45163097839595,"{'latitude': '53.50777958168241', 'longitude': '-113.45163097839595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T21:00:53.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
16679,45311838471058,2020-04-24T18:31:45.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-24T18:31:46.000,,,,,True
16725,31101838470987,2020-04-24T18:10:31.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2010,ABBOTTSFIELD,07,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.574143433510216,-113.38875800511948,"{'latitude': '53.574143433510216', 'longitude': '-113.38875800511948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T19:31:24.000,,,,,True
16814,4341738470893,2020-04-24T17:34:04.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,5480,STRATHCONA,08,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.522390187140154,-113.4909855541071,"{'latitude': '53.522390187140154', 'longitude': '-113.4909855541071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T19:01:22.000,,,,,True
16852,33181738470879,2020-04-24T17:18:33.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3380,RIVER VALLEY CAPITOL HILL,01,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.53188605972356,-113.5598856735013,"{'latitude': '53.53188605972356', 'longitude': '-113.5598856735013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T18:31:21.000,,,,,True
16870,23131738470863,2020-04-24T17:13:23.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,2145,CLAREVIEW TOWN CENTRE,04,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.601947807307084,-113.40689125176354,"{'latitude': '53.601947807307084', 'longitude': '-113.40689125176354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T18:31:35.000,,,,,True
16949,58481638470782,2020-04-24T16:48:58.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-24T16:48:59.000,,,,,True
16991,1391638470725,2020-04-24T16:39:01.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-24T16:39:02.000,,,,,True
17327,6211538470326,2020-04-24T15:21:06.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,3410,SHERBROOKE,02,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.57566320833989,-113.54728563480555,"{'latitude': '53.57566320833989', 'longitude': '-113.54728563480555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T16:31:28.000,,,,,True
17488,15461438470144,2020-04-24T14:46:15.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4570,WEDGEWOOD HEIGHTS,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.47871449416715,-113.6465801690101,"{'latitude': '53.47871449416715', 'longitude': '-113.6465801690101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T16:01:29.000,,,,,True
17880,10351338469694,2020-04-24T13:35:10.000,2020,4,April,Closed,Bylaw Complaints,COVID - Mass Gathering Unacceptable,Phone Call,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Mass Gathering Unacceptable,,,,1,2020-04-24T13:35:11.000,,,,,True
19209,24420938468114,2020-04-24T09:42:24.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,4290,MAYFIELD,01,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.555018032798024,-113.59817018646271,"{'latitude': '53.555018032798024', 'longitude': '-113.59817018646271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-25T12:31:31.000,Citizen Complied,,,,True
19514,42200838467804,2020-04-24T08:20:42.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Mobile App,Community Standards - Peace Officers,Referral,4360,OLESKIW,05,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.49733975805122,-113.60876547735896,"{'latitude': '53.49733975805122', 'longitude': '-113.60876547735896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-24T16:01:14.000,,,,,True
19548,54050838467752,2020-04-24T08:05:54.000,2020,4,April,Closed,Bylaw Complaints,COVID - Open Business Unacceptable,Email,Community Standards - Peace Officers,Full Service,,,,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Open Business Unacceptable,,,,1,2020-04-24T08:05:54.000,,,,,True
19746,43481837467495,2020-04-23T18:48:43.000,2020,4,April,Closed,Bylaw Complaints,COVID - Physical Distancing Complaint,Phone Call,Community Standards - Peace Officers,Referral,6360,KING EDWARD PARK,11,Bylaw Complaints  (Community Standards - Peace Officers),(Community Standards - Peace Officers)  Bylaw Complaints,(Community Standards - Peace Officers)  COVID - Physical Distancing Complaint,53.515151157263325,-113.45056960491442,"{'latitude': '53.515151157263325', 'longitude': '-113.45056960491442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,2020-04-23T20:01:40.000,,53.48222636935761,-113.44225301244043,"{'latitude': '53.48222636935761', 'longitude': '-113.44225301244043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",True
